"order_id","customer_id","order_date","delivery_date","status","total_amount","delivery_address","promo_code","payment_method"
31,98,2024-10-06 14:01:00.000,"2024-10-07",delivered,244.85,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 99",SUMMER15,card
32,616,2024-09-11 17:13:00.000,"2024-09-12",delivered,1010.88,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 55",,card
33,2157,2024-11-27 11:30:00.000,"2024-11-28",delivered,1072.22,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 21",WELCOME10,card
34,134,2024-03-24 13:06:00.000,"2024-03-25",delivered,1754.1,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 98",,card
35,966,2024-02-28 20:28:00.000,"2024-02-29",delivered,99.64,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 100",SUMMER15,sbp
36,145,2024-09-18 09:30:00.000,"2024-09-19",cancelled,2482.48,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 21",,card
37,494,2024-03-23 16:52:00.000,"2024-03-24",delivered,676.87,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 66",WELCOME10,card
38,911,2024-03-26 11:39:00.000,"2024-03-27",confirmed,742.53,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 96",,sbp
39,1634,2024-10-12 20:29:00.000,"2024-10-13",delivered,973.47,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 41",WELCOME10,card
40,11,2024-03-09 09:38:00.000,"2024-03-10",cancelled,815.57,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 93",,card
41,1533,2024-11-15 20:02:00.000,"2024-11-16",delivered,1367.69,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 18",FRESH20,card
42,2204,2024-07-13 10:17:00.000,"2024-07-14",delivered,1074.43,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 4",,card
43,1561,2024-04-04 19:05:00.000,"2024-04-05",delivered,1501.78,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 11",,card
44,1821,2024-05-21 12:53:00.000,"2024-05-22",delivered,1918.45,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 89",SUMMER15,card
45,1887,2024-10-09 18:19:00.000,"2024-10-10",delivered,1480.67,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 7",,card
46,1184,2024-02-18 17:00:00.000,"2024-02-19",delivered,1421.82,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 73",FRESH20,card
47,2077,2024-11-18 20:01:00.000,"2024-11-19",delivered,919.95,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 53",,cash
48,1764,2024-05-19 17:50:00.000,"2024-05-20",delivered,1375.56,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 76",WELCOME10,cash
49,2118,2024-05-27 12:15:00.000,"2024-05-28",delivered,469.97,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 15",WELCOME10,cash
50,913,2024-04-07 19:16:00.000,"2024-04-08",delivered,1067.45,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 32",FRESH20,card
51,1582,2024-02-06 18:25:00.000,"2024-02-07",delivered,313.05,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 15",FRESH20,card
52,99,2024-07-30 09:21:00.000,"2024-07-31",delivered,138.44,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 48",,sbp
53,1164,2024-07-12 18:33:00.000,"2024-07-13",delivered,1273.41,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 1",WELCOME10,sbp
54,933,2024-03-22 08:50:00.000,"2024-03-23",delivered,213.83,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 68",,card
55,691,2024-07-30 09:56:00.000,"2024-07-31",delivered,1076.61,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 89",,sbp
56,1408,2024-07-18 12:10:00.000,"2024-07-19",delivered,1889.7,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 19",,card
57,206,2024-07-08 16:16:00.000,"2024-07-09",delivered,1145.52,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 14",,card
58,626,2024-05-09 20:15:00.000,"2024-05-10",delivered,1061.53,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 3",,cash
59,32,2024-08-02 17:21:00.000,"2024-08-03",delivered,1477.74,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 44",,sbp
60,197,2024-05-03 16:21:00.000,"2024-05-04",delivered,1328.85,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 6",,sbp
61,758,2024-07-30 16:47:00.000,"2024-07-31",cancelled,1114.46,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 83",SUMMER15,sbp
62,2068,2024-04-17 09:21:00.000,"2024-04-18",delivered,1145.68,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 98",,card
63,879,2024-08-31 19:17:00.000,"2024-09-01",delivered,942.37,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 63",,sbp
64,638,2024-06-18 09:05:00.000,"2024-06-19",delivered,2085.4,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 4",FRESH20,card
65,1294,2024-11-17 17:01:00.000,"2024-11-18",delivered,855.91,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 59",,sbp
66,1193,2024-04-25 17:08:00.000,"2024-04-26",delivered,1020.57,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 9",,sbp
67,1044,2024-07-12 08:10:00.000,"2024-07-13",delivered,1521.04,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 76",SUMMER15,card
68,1236,2024-08-19 10:53:00.000,"2024-08-20",delivered,1448.67,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 94",,card
69,1159,2024-07-26 12:24:00.000,"2024-07-27",delivered,1161.27,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 15",SUMMER15,sbp
70,736,2024-07-21 18:37:00.000,"2024-07-22",delivered,2166.56,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 70",,card
71,1525,2024-10-02 16:05:00.000,"2024-10-03",delivered,795.76,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 27",,card
72,317,2024-11-21 09:33:00.000,"2024-11-22",delivered,541.3,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 95",,sbp
73,103,2024-03-25 18:17:00.000,"2024-03-26",delivered,365.6,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 93",,card
74,248,2024-06-14 10:48:00.000,"2024-06-15",delivered,2663.31,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 8",FRESH20,cash
75,2417,2024-01-14 19:09:00.000,"2024-01-15",delivered,940.77,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 97",,card
76,1359,2024-03-22 09:34:00.000,"2024-03-23",delivered,2109.9,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 37",SUMMER15,cash
77,759,2024-01-22 13:24:00.000,"2024-01-23",delivered,126.36,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 4",,cash
78,1439,2024-01-26 08:42:00.000,"2024-01-27",delivered,330.32,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 36",SUMMER15,card
79,1319,2024-07-26 14:36:00.000,"2024-07-27",delivered,232.59,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 35",SUMMER15,card
80,150,2024-06-13 13:42:00.000,"2024-06-14",delivered,2066.81,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 100",FRESH20,cash
81,2496,2024-04-04 10:04:00.000,"2024-04-05",delivered,190.11,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 72",SUMMER15,card
82,8,2024-05-13 18:46:00.000,"2024-05-14",delivered,462.45,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 32",SUMMER15,card
83,1371,2024-07-12 19:48:00.000,"2024-07-13",delivered,304.63,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 20",FRESH20,card
84,1606,2024-03-13 19:25:00.000,"2024-03-14",delivered,844.53,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 94",,sbp
85,987,2024-06-01 10:01:00.000,"2024-06-02",delivered,803.21,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 6",WELCOME10,card
86,841,2024-11-19 14:10:00.000,"2024-11-20",delivered,877.06,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 30",FRESH20,card
87,174,2024-06-23 16:43:00.000,"2024-06-24",delivered,1441.35,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 3",,card
88,1154,2024-07-07 11:35:00.000,"2024-07-08",delivered,998.13,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 89",,card
89,1975,2024-05-28 18:40:00.000,"2024-05-29",delivered,603.38,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 16",WELCOME10,card
90,2280,2024-03-13 20:06:00.000,"2024-03-14",confirmed,834.82,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 31",SUMMER15,card
91,1081,2024-11-19 18:12:00.000,"2024-11-20",delivered,1004.62,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 79",SUMMER15,sbp
92,1496,2024-06-16 14:06:00.000,"2024-06-17",delivered,3577.68,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 68",,card
93,546,2024-07-12 13:30:00.000,"2024-07-13",delivered,692.54,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 1",SUMMER15,card
94,902,2024-07-19 13:39:00.000,"2024-07-20",delivered,802.25,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 74",,card
95,1106,2024-10-03 12:14:00.000,"2024-10-04",delivered,431.31,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 93",,card
96,964,2024-11-06 17:32:00.000,"2024-11-07",delivered,274.46,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 43",,sbp
97,1641,2024-02-09 09:16:00.000,"2024-02-10",delivered,1370.74,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 89",,card
98,1195,2024-03-06 14:49:00.000,"2024-03-07",delivered,2397.26,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 88",WELCOME10,card
99,158,2024-06-13 19:13:00.000,"2024-06-14",delivered,1274.73,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 56",SUMMER15,cash
100,2278,2024-04-03 14:36:00.000,"2024-04-04",delivered,325.27,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 83",,cash
101,944,2024-04-17 16:53:00.000,"2024-04-18",confirmed,44.53,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 15",,card
102,370,2024-10-10 08:50:00.000,"2024-10-11",delivered,938.43,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 68",,sbp
103,1785,2024-01-24 11:14:00.000,"2024-01-25",delivered,1007.74,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 89",FRESH20,card
104,1913,2024-11-06 08:32:00.000,"2024-11-07",delivered,931.68,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 3",FRESH20,sbp
105,952,2024-05-10 17:51:00.000,"2024-05-11",delivered,2248.57,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 87",FRESH20,sbp
106,1779,2024-02-15 16:18:00.000,"2024-02-16",delivered,35.04,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 82",SUMMER15,card
107,2166,2024-03-16 13:36:00.000,"2024-03-17",delivered,2037.69,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 100",,card
108,376,2024-03-13 20:27:00.000,"2024-03-14",delivered,81.34,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 8",WELCOME10,cash
109,815,2024-01-12 16:30:00.000,"2024-01-13",delivered,1171.5,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 93",,cash
110,1410,2024-11-06 11:20:00.000,"2024-11-07",delivered,809.74,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 37",,card
111,924,2024-07-27 18:07:00.000,"2024-07-28",delivered,970.35,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 19",WELCOME10,cash
112,220,2024-07-02 16:43:00.000,"2024-07-03",delivered,994.34,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 28",,cash
113,837,2024-09-03 20:27:00.000,"2024-09-04",delivered,404.69,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 97",,card
114,2034,2024-04-08 20:17:00.000,"2024-04-09",delivered,468.68,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 6",,card
115,277,2024-09-01 20:14:00.000,"2024-09-02",delivered,729.82,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 8",,sbp
116,1988,2024-09-14 11:04:00.000,"2024-09-15",delivered,591.58,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 8",SUMMER15,card
117,1451,2024-02-11 12:40:00.000,"2024-02-12",delivered,1133.11,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 83",WELCOME10,card
118,1487,2024-01-26 19:23:00.000,"2024-01-27",delivered,778.83,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 21",,sbp
119,1049,2024-03-12 19:25:00.000,"2024-03-13",delivered,1042.49,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 61",WELCOME10,card
120,673,2024-03-23 17:44:00.000,"2024-03-24",delivered,275.18,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 68",FRESH20,cash
121,1269,2024-05-14 09:12:00.000,"2024-05-15",delivered,805.77,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 70",,sbp
122,597,2024-01-06 11:54:00.000,"2024-01-07",delivered,1892.86,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 25",,sbp
123,1137,2024-02-08 18:34:00.000,"2024-02-09",delivered,2484.56,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 37",,card
124,471,2024-08-19 11:43:00.000,"2024-08-20",delivered,702.7,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 95",WELCOME10,cash
125,552,2024-03-28 10:04:00.000,"2024-03-29",delivered,810.16,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 24",,card
126,2276,2024-05-13 16:59:00.000,"2024-05-14",delivered,1547.4,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 30",WELCOME10,card
127,2452,2024-10-03 11:56:00.000,"2024-10-04",delivered,1085.26,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 90",SUMMER15,cash
128,631,2024-11-21 14:25:00.000,"2024-11-22",delivered,633.4,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 64",,sbp
129,1456,2024-09-22 20:51:00.000,"2024-09-23",delivered,1239.19,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 45",,card
130,383,2024-02-14 14:43:00.000,"2024-02-15",delivered,1046.18,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 73",,card
131,1024,2024-09-24 18:49:00.000,"2024-09-25",delivered,2640.68,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 56",SUMMER15,cash
132,1359,2024-10-04 12:50:00.000,"2024-10-05",delivered,2828.04,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 56",FRESH20,cash
133,1283,2024-05-08 16:18:00.000,"2024-05-09",delivered,1425.6,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 45",WELCOME10,cash
134,686,2024-09-16 15:51:00.000,"2024-09-17",delivered,398.0,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 70",WELCOME10,sbp
135,1451,2024-07-18 15:12:00.000,"2024-07-19",delivered,1497.67,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 69",WELCOME10,sbp
136,262,2024-10-04 10:54:00.000,"2024-10-05",delivered,626.14,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 96",,cash
137,2028,2024-06-11 18:33:00.000,"2024-06-12",delivered,1045.24,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 35",,card
138,1163,2024-07-18 14:46:00.000,"2024-07-19",delivered,298.2,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 23",FRESH20,card
139,2405,2024-07-10 12:16:00.000,"2024-07-11",delivered,3435.77,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 74",,card
140,422,2024-07-26 10:16:00.000,"2024-07-27",delivered,1644.9,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 74",,sbp
141,2225,2024-10-28 11:55:00.000,"2024-10-29",delivered,1202.69,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 65",,cash
142,976,2024-07-19 13:23:00.000,"2024-07-20",delivered,421.14,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 63",FRESH20,card
143,1347,2024-05-13 11:00:00.000,"2024-05-14",delivered,789.12,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 77",WELCOME10,card
144,2478,2024-01-25 11:33:00.000,"2024-01-26",delivered,693.25,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 12",,card
145,269,2024-07-20 12:05:00.000,"2024-07-21",confirmed,2989.21,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 12",,card
146,1488,2024-03-31 15:24:00.000,"2024-04-01",delivered,1703.37,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 17",,cash
147,133,2024-09-26 16:54:00.000,"2024-09-27",delivered,176.91,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 18",,cash
148,1477,2024-08-07 14:03:00.000,"2024-08-08",delivered,1722.17,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 44",FRESH20,cash
149,1934,2024-08-04 13:50:00.000,"2024-08-05",delivered,2566.66,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 55",,card
150,211,2024-03-10 08:56:00.000,"2024-03-11",delivered,594.24,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 30",,card
151,1106,2024-03-08 18:56:00.000,"2024-03-09",delivered,827.93,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 27",FRESH20,sbp
152,415,2024-10-11 19:11:00.000,"2024-10-12",confirmed,1049.33,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 89",,sbp
153,2230,2024-08-17 18:50:00.000,"2024-08-18",delivered,2077.02,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 14",FRESH20,card
154,861,2024-04-07 09:08:00.000,"2024-04-08",delivered,1617.67,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 34",WELCOME10,card
155,1654,2024-04-14 19:35:00.000,"2024-04-15",delivered,602.58,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 62",WELCOME10,card
156,842,2024-05-13 19:23:00.000,"2024-05-14",delivered,636.2,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 42",,cash
157,1848,2024-02-16 16:52:00.000,"2024-02-17",delivered,1883.95,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 16",FRESH20,sbp
158,672,2024-03-30 09:29:00.000,"2024-03-31",delivered,1578.18,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 23",,cash
159,1738,2024-10-17 17:13:00.000,"2024-10-18",confirmed,166.73,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 94",WELCOME10,card
160,295,2024-10-26 09:40:00.000,"2024-10-27",delivered,213.87,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 42",FRESH20,card
161,1497,2024-05-05 20:36:00.000,"2024-05-06",delivered,1787.18,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 60",FRESH20,sbp
162,398,2024-04-22 10:51:00.000,"2024-04-23",delivered,240.79,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 74",WELCOME10,cash
163,941,2024-02-29 10:57:00.000,"2024-03-01",delivered,453.08,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 86",SUMMER15,sbp
164,596,2024-09-26 15:46:00.000,"2024-09-27",delivered,2128.32,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 5",,card
165,529,2024-10-10 15:38:00.000,"2024-10-11",delivered,1916.98,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 95",FRESH20,card
166,669,2024-09-20 13:11:00.000,"2024-09-21",delivered,1335.14,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 83",,cash
167,1331,2024-10-20 13:07:00.000,"2024-10-21",delivered,1166.4,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 22",FRESH20,cash
168,2196,2024-06-27 18:01:00.000,"2024-06-28",delivered,2323.62,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 12",SUMMER15,card
169,1573,2024-03-15 14:03:00.000,"2024-03-16",delivered,1293.99,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 97",FRESH20,card
170,1770,2024-01-28 09:38:00.000,"2024-01-29",delivered,696.41,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 80",FRESH20,card
171,2409,2024-08-16 10:46:00.000,"2024-08-17",delivered,1786.46,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 25",WELCOME10,sbp
172,208,2024-06-21 11:34:00.000,"2024-06-22",delivered,417.27,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 72",FRESH20,sbp
173,1084,2024-11-16 16:08:00.000,"2024-11-17",delivered,1095.32,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 49",,card
174,1587,2024-10-29 11:44:00.000,"2024-10-30",delivered,539.54,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 28",FRESH20,cash
175,1588,2024-11-01 13:08:00.000,"2024-11-02",delivered,158.12,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 3",,card
176,2392,2024-08-20 09:09:00.000,"2024-08-21",delivered,1327.96,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 17",,card
177,1488,2024-05-12 09:56:00.000,"2024-05-13",delivered,1154.07,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 30",SUMMER15,sbp
178,674,2024-05-22 08:10:00.000,"2024-05-23",delivered,246.75,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 11",WELCOME10,sbp
179,2113,2024-10-29 08:26:00.000,"2024-10-30",delivered,2399.95,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 88",FRESH20,card
180,2482,2024-04-23 19:45:00.000,"2024-04-24",delivered,880.38,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 47",WELCOME10,sbp
181,1104,2024-10-15 20:40:00.000,"2024-10-16",delivered,971.03,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 87",,card
182,1792,2024-05-25 14:53:00.000,"2024-05-26",delivered,428.5,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 16",SUMMER15,card
183,430,2024-01-20 11:01:00.000,"2024-01-21",delivered,277.18,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 98",,sbp
184,19,2024-03-23 14:33:00.000,"2024-03-24",delivered,985.2,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 76",,card
